Accident_Chainage,Equipment_Chainage,Equip_LATITUDE,Equip_LONGITUDE,Location
2.3,2.3,78.32788,17.40813,Kokapet_2.300 Outer
2.4,2.33,78.3275,17.40879,kokapet_2.400 Inner
2.5,2.33,78.3275,17.40879,Kokapet_2.500_OUTER
2.85,2.7,78.32433,17.40976,Kokapet_2.850_inner
3,2.7,78.32433,17.40976,Kokapet_3.000 _outer
3,2.7,78.32433,17.40976,Kokapet_3.000_Inner
3.1,2.7,78.32433,17.40976,Kokapet_ 3.100_INNER
3.1,2.7,78.32433,17.40976,Kokapet_3.100_Outer
3.3,3.75,78.31471,17.41195,Kokapet_3.300 Outer
3.4,3.75,78.31471,17.41195,Kokapet_3.400_Inner
3.5,3.75,78.31471,17.41195,Kokapet_3.000 - 4.000_Outer
3.55,3.75,78.31471,17.41195,Kokapet_3.550_INNER
3.6,3.75,78.31471,17.41195,Kokapet_3.600_OUTER
3.6,3.75,78.31471,17.41195,Kokapet_3.600 Outer
3.65,3.75,78.31471,17.41195,Kokapet_3.650_inner
3.8,3.75,78.31471,17.41195,KOKAPET_3.800 Outer
4,3.9,78.31346,17.41211,Kokapet_4.000_Outer
4,3.9,78.31346,17.41211,Kokapet_4.000 Outer
4,3.9,78.31346,17.41211,Kokapet_4.000_Inner
4,3.9,78.31346,17.41211,Kokapet_4.000_Inner
4,3.9,78.31346,17.41211,Kokapet_4.000_Outer
4.05,3.9,78.31346,17.41211,Kokapet_4.050 Inner
4.1,3.9,78.31346,17.41211,Kokapet_4.100_Inner
4.1,3.9,78.31346,17.41211,Kokapet_4.100_Outer
4.15,3.9,78.31346,17.41211,Kokapet
4.35,3.9,78.31346,17.41211,Kokapet_4.350 _outer
4.5,4.83,78.30479,17.41275,Kokapet_4.500 Inner
4.7,4.83,78.30479,17.41275,Kokapet_4.700_Outer
4.8,4.83,78.30479,17.41275,Kokapet_4.800 Outer
4.83,4.83,78.30479,17.41275,Kokapet_4.830_Inner
4.85,4.83,78.30479,17.41275,Kokapet_4.850_Inner
5,4.83,78.30479,17.41275,Kokapet_5.000_inner
5,4.83,78.30479,17.41275,Kokapet_5.000 Inner
5.2,4.83,78.30479,17.41275,Kokapet_5.200 Inner
5.4,5.85,78.29526,17.41292,Kokapet
5.4,5.85,78.29526,17.41292,Kokapet_5.400 Inner
5.55,5.85,78.29526,17.41292,Kokapet_5.550 _outer
5.67,5.85,78.29526,17.41292,Kokapet_5.670_inner
5.7,5.85,78.29526,17.41292,Kokapet_5.700 Inner
5.7,5.85,78.29526,17.41292,Kokapet_5.700 Outer
5.85,5.85,78.29526,17.41292,Kokapet_5.850_INNER
6,5.85,78.29526,17.41292,Kokapet_6.000_Outer
6,5.85,78.29526,17.41292,Kokapet_6.000_Inner
6,5.85,78.29526,17.41292,Kokapet_6.000 Inner
6.3,5.85,78.29526,17.41292,Kokapet_6.300_inner
6.3,5.85,78.29526,17.41292,Kokapet_6.300_inner
6.4,6.9,78.28568,17.41543,Kokapet_6.400 _outer
6.5,6.9,78.28568,17.41543,Kokapet_6.500_INNER
6.5,6.9,78.28568,17.41543,Kokapet_6.500_Outer
6.5,6.9,78.28568,17.41543,Kokapet_6.500 Inner
6.5,6.9,78.28568,17.41543,Kokapet_6.500 Outer
6.7,6.9,78.28568,17.41543,Kokapet_6.700_Inner
6.9,6.9,78.28568,17.41543,Kokapet_6.900 Outer
7,6.9,78.28568,17.41543,Kokapet_7.000_inner
7,6.9,78.28568,17.41543,Kokapet_7.000_inner
7,6.9,78.28568,17.41543,Kokapet_7.000_Inner Cycle Track
7,6.9,78.28568,17.41543,Kokapet_7.000 Outer
7.1,6.9,78.28568,17.41543,Kokapet_7.100_Outer
7.3,6.9,78.28568,17.41543,Kokapet_7.300 Inner
7.5,7.98,78.27647,17.41867,Kokapet
7.5,7.98,78.27647,17.41867,Kokapet_7.500_Inner
7.5,7.98,78.27647,17.41867,Kokapet_7.500 Inner
7.8,7.98,78.27647,17.41867,Kokapet
7.9,7.98,78.27647,17.41867,Kokapet_7.900_Inner
7.9,7.98,78.27647,17.41867,Kokapet_7.900_Inner
7.98,7.98,78.27647,17.41867,Kokapet_7.980_Outer
7.98,7.98,78.27647,17.41867,Kokapet_7.980 Inner
8,7.98,78.27647,17.41867,Kokapet_8.000 Inner
8,7.98,78.27647,17.41867,Kokapet_8.000 Outer
8.5,9,78.26772,17.42269,Kokapet_8.500_Outer
8.5,9,78.26772,17.42269,Kokapet_8.500 Inner
8.6,9,78.26772,17.42269,Kokapet_8.600 Inner
8.65,9,78.26772,17.42269,kokapet_8.650_inner
8.9,9,78.26772,17.42269,Kokapet_8.900 Inner
8.95,9,78.26772,17.42269,Kokapet_8.950 Outer
9,9,78.26772,17.42269,Kokapet_9.000_-_8.000_inner
9,9,78.26772,17.42269,Kokapet_9.000_Outer
9,9,78.26772,17.42269,Kokapet_9.000_inner
9,9,78.26772,17.42269,Kokapet_9.000_inner
9,9,78.26772,17.42269,Kokapet_9.000_Outer
9,9,78.26772,17.42269,Kokapet_9.000_Inner
9,9,78.26772,17.42269,Kokapet_9.000 Inner
9,9,78.26772,17.42269,Kokapet_9.000 Inner
9.1,9,78.26772,17.42269,Kokapet_9.100_INNER
9.2,9,78.26772,17.42269,Kokapet_9.200 Inner
9.3,9,78.26772,17.42269,Kokapet_9.300 Inner
9.5,9,78.26772,17.42269,Kokapet_9.500 Inner
9.5,9,78.26772,17.42269,Kokapet_ 9.500 Outer                             
9.5,9,78.26772,17.42269,Kokapet_9.500 Inner
9.6,10.05,78.26349,17.4307,Kokapet_9.600_INNER
9.6,10.05,78.26349,17.4307,Kokapet_9.600 Inner
10,10.05,78.26349,17.4307,kokapet_10.000_inner
10,10.05,78.26349,17.4307,Kokapet_10.000_OUTER
10.05,10.05,78.26349,17.4307,Kokapet_10.050 Inner
10.45,10.05,78.26349,17.4307,Kokapet
10.5,10.05,78.26349,17.4307,Kokapet_10.500_inner
10.5,10.05,78.26349,17.4307,Kokapet_10.500_inner
10.5,10.05,78.26349,17.4307,Kokapet_10.500_Outer
10.5,10.05,78.26349,17.4307,Kokapet_10.500_Inner
10.5,10.05,78.26349,17.4307,Kokapet_10.500 Outer
10.7,11.1,78.25941,17.43985,Kokapet_10.700_Inner
10.8,11.1,78.25941,17.43985,Kokapet_10.800 _outer
10.95,11.1,78.25941,17.43985,Kokapet_10.950_Outer
11,11.1,78.25941,17.43985,Kokapet_11_Outer
11,11.1,78.25941,17.43985,Kokapet_11.000_Outer
11,11.1,78.25941,17.43985,Kokapet_11.000_Inner
11,11.1,78.25941,17.43985,Kokapet_11.000 Outer
11.1,11.1,78.25941,17.43985,Kokapet_11.100_OUTER
11.15,11.1,78.25941,17.43985,Kokapet_11.150_OUTER
11.15,11.1,78.25941,17.43985,Kokapet_11.150 Outer
11.5,11.1,78.25941,17.43985,Kokapet_11.500_INNER
11.5,11.1,78.25941,17.43985,Kokapet_11.500_INNER
11.5,11.1,78.25941,17.43985,Kokapet_11.500_Inner
11.8,12,78.25594,17.44728,Kokapet_11.800_Outer
12,12,78.25594,17.44728,Kokapet_12.000_Toll_Plaza
12,12,78.25594,17.44728,kokapet_12.000_inner
12,12,78.25594,17.44728,Kokapet_12.000 Service Road
12,12,78.25594,17.44728,Kokapet_12.000_INNER
12,12,78.25594,17.44728,Kokapet_12.000 Inner
12,12,78.25594,17.44728,Bongluru_12 Outer
12,12,78.25594,17.44728,Idulnagulapalli_12.000_Inner
12.1,12.15,78.25559,17.44727,Kokapet_12.100_Outer
12.15,12.15,78.25559,17.44727,Kokapet
12.3,12.15,78.25559,17.44727,Kokapet_12.300 _outer
12.3,12.15,78.25559,17.44727,Idunagulapalli_12.300_Inner
12.5,12.15,78.25559,17.44727,Idulanagulapalli
12.5,12.15,78.25559,17.44727,Idulanagulapalli
12.5,12.15,78.25559,17.44727,Idulanagulapalli
12.5,12.15,78.25559,17.44727,Idulnagulapalli_12.500 _outer
12.5,12.15,78.25559,17.44727,Idulnagulapalli_12.500_inner
12.5,12.15,78.25559,17.44727,Kolluru_12.500_Inner
12.5,12.15,78.25559,17.44727,Idulnagulapalli_12.500_Inner
12.8,13,78.25218,17.45556,Kokapet_12.800 Inner
12.9,13,78.25218,17.45556,Kokapet_12.900 Inner
13,13,78.25218,17.45556,Idulanagulapalli
13,13,78.25218,17.45556,Idulnagulapalli_13.000 - 14.000 _outer
13,13,78.25218,17.45556,Idulnagulapalli_13.000_INNER
13,13,78.25218,17.45556,Idulnagulapalli_13.000_inner
13,13,78.25218,17.45556,Idulnagulapalli_13.000_inner
13.1,13,78.25218,17.45556,idulnagulapalli_13.100_inner
13.1,13,78.25218,17.45556,Idulnagulapalli_13.100_Outer
13.2,13,78.25218,17.45556,Idulnagulapalli_13.200 Inner
13.4,13.54,78.25,17.45983,Idulnagulapally_13.400 Inner
13.5,13.54,78.25,17.45983,Idulanagulapalli
13.5,13.54,78.25,17.45983,Idulnagulapalli_13.500_OUTER
13.6,13.6,78.25027,17.46044,Idulanagulapalli
13.6,13.6,78.25027,17.46044,Idulanagulapalli
13.6,13.6,78.25027,17.46044,Idulnagulapalli_13.600_inner
13.6,13.6,78.25027,17.46044,Idulnagulapalli_13.600_inner
13.6,13.6,78.25027,17.46044,Idulnagulapalli_13.600_INNER
13.6,13.6,78.25027,17.46044,Idulnagulapalli_13.600_inner
13.6,13.6,78.25027,17.46044,Idulnagulapalli_Exit-02_inner
13.6,13.6,78.25027,17.46044,Idulnagulapalli_Exit-02_inner
13.6,13.6,78.25027,17.46044,Idulnagulapalli_13.600_Outer
13.6,13.6,78.25027,17.46044,Idulnagulapalli_Exit-2_inner
13.6,13.6,78.25027,17.46044,Idulnagulapalli_13.600_OUTER
13.6,13.6,78.25027,17.46044,Idulnagulapalli_13.600_Inner
13.6,13.6,78.25027,17.46044,Idunagulapalli_13.600 Inner
13.6,13.6,78.25027,17.46044,Idulnagulapalli_13.600 Outer
13.9,14,78.24957,17.4642,Kolluru Exit_Service Road
13.9,14,78.24957,17.4642,Kolluru Servce Road
13.9,14,78.24957,17.4642,Idulnagulapalli_13.900_Service Road
13.9,14,78.24957,17.4642,Idulnagulapalli_13.900_Trauma
13.9,14,78.24957,17.4642,Idulnagulapalli_13.900_Trauma
13.9,14,78.24957,17.4642,Idulnagulapalli_13.900_Trauma
13.9,14,78.24957,17.4642,Idulnagulapalli_13.900_Trauma
14,14,78.24957,17.4642,Idulanagulapalli
14,14,78.24957,17.4642,Idulnagulapalli_14.000_inner
14,14,78.24957,17.4642,Idulnagulapalli_14.000_inner
14.22,14.22,78.24894,17.46599,Idulnagulapalli_14.220 _outer
14.22,14.22,78.24894,17.46599,Idulnagulapalli_Exit-02
14.22,14.22,78.24894,17.46599,Idulnagulapalli_Exit-02_Outer
14.22,14.22,78.24894,17.46599,Idulnagulapalli_Exit-02_Outer
14.22,14.22,78.24894,17.46599,Idulnagulapalli_Exit-02_Outer
14.22,14.22,78.24894,17.46599,Idulnagulapalii_Exit-02_Outer
14.22,14.22,78.24894,17.46599,Idulnagulapalli_Exit - 02_INNER
14.22,14.22,78.24894,17.46599,Idulnagulapalli_Exit - 02_OUTER
14.22,14.22,78.24894,17.46599,Idulnagulapalli_Exit - 02_OUTER
14.22,14.22,78.24894,17.46599,Idulnagulapalli_Exit - 2_OUTER
14.22,14.22,78.24894,17.46599,Idulnagulapalli_14.220_INNER
14.22,14.22,78.24894,17.46599,Idulanagulaplli_14.220_Inner
14.22,14.22,78.24894,17.46599,Idulanagulaplli_14.220 Inner
14.22,14.22,78.24894,17.46599,Idulnagulapalli_14.220 Outer
14.22,14.22,78.24894,17.46599,Idulanagulapalli_14.220 Outer
14.22,14.22,78.24894,17.46599,Idulanagulapalli_14.220 Inner
14.22,14.22,78.24894,17.46599,Idulanagulapalli_14.220 Outer
14.3,14.275,78.24934,17.4664,Idulnagulapalli_14.300 Outer
14.5,14.275,78.24934,17.4664,Idulnagulapalli_14.500_Outer
14.5,14.275,78.24934,17.4664,Idulnagulapalli_14.500 Inner
14.6,14.275,78.24934,17.4664,Idulnagulapalli_14.600_Outer
14.6,14.275,78.24934,17.4664,Idulnagulapalli_14.600_Inner
15,15,78.24817,17.47331,Idulnagulapalli_15.000_Outer
15,15,78.24817,17.47331,Idulnagulapalli_15.000_INNER
15.1,15,78.24817,17.47331,Idulnagulapalli_15.100_Inner
15.4,15,78.24817,17.47331,Idulnagulapalli_15.400_inner
15.5,15.8,78.24707,17.48015,Idulanagulapalli
15.5,15.8,78.24707,17.48015,Idulnagulapalli_15.500_Inner
15.5,15.8,78.24707,17.48015,Idulnagulapalli_15.500 Outer
15.9,15.8,78.24707,17.48015,Idulnagulapalli_15.900 Inner
16,16,78.24678,17.48201,Idulnagulapalli_16.000 _outer
16,16,78.24678,17.48201,Idulnagulapalli_16.000_Outer
16,16,78.24678,17.48201,Idulnagulapalli_16.000 Inner
16.05,16,78.24678,17.48201,Idulnagulapalli_16.050_Outer
16.3,16,78.24678,17.48201,Idulnagulapalli_16.300 _outer
16.4,16,78.24678,17.48201,Idulnagulapalli_16.400 Inner
16.4,16,78.24678,17.48201,Idulnagulapalli_16.400 Outer
16.5,16,78.24678,17.48201,Idulnagulapally_16.500 _outer
16.5,16,78.24678,17.48201,Idulnagulapalli_16.500_Outer
16.5,16,78.24678,17.48201,Idulnagulapalli_16.500 Inner
16.5,16,78.24678,17.48201,Idunagulapalli_16.500 Inner
16.5,16,78.24678,17.48201,Idulanagulapalli_16.500 Inner
17,17,78.24552,17.49098,Idulnagulaplli_17.000 _outer
17,17,78.24552,17.49098,Idulnagulapalli_17.000 Inner
17,17,78.24552,17.49098,Idulanagulapalli_17.000 Outer
17.1,17,78.24552,17.49098,Idunagulapalli_17.100 Outer
17.3,17,78.24552,17.49098,Idulnagulapalli_17.300 _outer
17.5,17,78.24552,17.49098,Idulnagulapalli_17.500 Inner
17.5,17,78.24552,17.49098,Idulnagulapalli_17.500_Inner
17.5,17,78.24552,17.49098,Idulanagulapalli_17.500_Inner
17.7,18,78.24412,17.49993,Idulnagulapalli_17.700_OUTER
17.7,18,78.24412,17.49993,Idulnagulapalli_17.700_OUTER
17.8,18,78.24412,17.49993,Idulnagulapalli_17.800 _outer
17.8,18,78.24412,17.49993,Idulanagulaplli_17.800_Inner
17.85,18,78.24412,17.49993,Idunagulapalli_17.850 Outer
17.9,18,78.24412,17.49993,Idulnagulapalli_17.900 Outer
17.9,18,78.24412,17.49993,Idulnagulapalli_17.900 Outer
17.95,18,78.24412,17.49993,Idulanagulapalli
17.95,18,78.24412,17.49993,Idulanagulapalli
17.95,18,78.24412,17.49993,Idulnagulapalli_17.950 _outer
18,18,78.24412,17.49993,Idulnagulapalli_18.000_inner
18.2,18,78.24412,17.49993,Idulnagulapalli_18.200 _outer
18.2,18,78.24412,17.49993,Idulnagulapalli_18.200 Outer
18.3,18,78.24412,17.49993,Idulnagulapalli_18.300 Inner
18.4,18,78.24412,17.49993,Idulnagulapalli_18.400 Outer
18.5,18,78.24412,17.49993,Idulnagulapalli_18.500 Outer
18.8,19,78.24196,17.50871,Idulanagulapalli_18.800 Inner
18.9,19,78.24196,17.50871,Idulnagulapalli_18.900_inner
18.9,19,78.24196,17.50871,Idunagulapalli_18.900 Outer
19,19,78.24196,17.50871,Idulnagulapalli_19.000 _outer
19,19,78.24196,17.50871,Idulnagulapalli_19.000_inner
19,19,78.24196,17.50871,Patancheru_19.000_OUTER
19.2,19,78.24196,17.50871,Idulnagulapalli_19.200_Inner
19.2,19,78.24196,17.50871,Idunagulapalli_19.200 Outer
19.3,19,78.24196,17.50871,Patancheru_19.300 Outer
19.4,19,78.24196,17.50871,Idulnagulapalli_19.400 _outer
19.8,20,78.23895,17.5173,Idulnagulapalli_19.800 _outer
20,20,78.23895,17.5173,Patancheru_20.000_Outer
20,20,78.23895,17.5173,Idulanagulapalli_20.000 Outer
20.1,20,78.23895,17.5173,Patancheru_20.100_Outer
20.1,20,78.23895,17.5173,Patancheru_20.100_Outer
20.2,20,78.23895,17.5173,Patancheru_20.200 Inner
20.5,20.5,78.23698,17.52133,Patancheru_20.500_Outer
20.5,20.5,78.23698,17.52133,Patancheru_20.500 Inner
20.6,20.5,78.23698,17.52133,Patancheru_20.600 Outer
20.7,20.5,78.23698,17.52133,Idulnagulapalli_20.700 Outer
21,21,78.23563,17.52575,Patancheru_21.000 _outer
21,21,78.23563,17.52575,Patancheru_21.000_inner
21,21,78.23563,17.52575,Patancheru_21.0000 _outer
21,21,78.23563,17.52575,Patancheru_21.000_Outer
21,21,78.23563,17.52575,Patancheru_20.000 - 21.000_OUTER
21,21,78.23563,17.52575,Patancheru_21.000_OUTER
21,21,78.23563,17.52575,Patancheru_21.000 Inner
21,21,78.23563,17.52575,Patancheru_21.000 Inner
21,21,78.23563,17.52575,Patancheru_21.000 Inner
21,21,78.23563,17.52575,Patancheru_21.000 Outer
21.1,21,78.23563,17.52575,Patancheru_21.100 _outer
21.1,21,78.23563,17.52575,Patancheru_21.100 _outer
21.3,21,78.23563,17.52575,Patancheru_21.300 Inner
21.4,21,78.23563,17.52575,Patancheru_21.400_Outer
21.5,21,78.23563,17.52575,Idulanagulapalli
21.5,21,78.23563,17.52575,Patancheru_21.500
21.5,21,78.23563,17.52575,Patancheru_21.500_Outer
21.5,21,78.23563,17.52575,Patancheru_21.500_OUTER
21.5,21,78.23563,17.52575,Patancheru_21.500_Outer
21.8,22,78.23528,17.53452,Patancheru_21.800_INNER
21.8,22,78.23528,17.53452,Patancheru_21.800_Outer
21.95,22,78.23528,17.53452,Patancheru_21.950_Outer
22,22,78.23528,17.53452,Patancheru_22.000 down ramp
22,22,78.23528,17.53452,Patancheru_22.000_inner
22,22,78.23528,17.53452,Patancheru_22.000_Outer
22,22,78.23528,17.53452,Patancheru_22.000_Outer
22.025,22.025,78.23465,17.53412,Patancheru_22.025 Inner
22.05,22.025,78.23465,17.53412,Patancheru_22.050 Inner
22.1,22.025,78.23465,17.53412,Patancheru_22.100 Inner
22.2,22.2,78.23725,17.53813,Patancheru_22.200 Near Toll Plaza
22.2,22.2,78.23725,17.53813,Patancheru_22.200_Trauma
22.2,22.2,78.23725,17.53813,Patancheru_22.200_OUTER
22.2,22.2,78.23725,17.53813,Patancheru_22.200_Outer
22.2,22.2,78.23725,17.53813,Patancheru_22.200_Inner
22.2,22.2,78.23725,17.53813,Patancheru_22.200 Outer
22.25,22.25,78.23687,17.53777,Patancheru
22.25,22.25,78.23687,17.53777,Patancheru
22.25,22.25,78.23687,17.53777,Patancheru_22.250_inner
22.25,22.25,78.23687,17.53777,Patancheru_22.250_inner
22.25,22.25,78.23687,17.53777,Patancheru_22.250_inner
22.25,22.25,78.23687,17.53777,Patancheru_22.250_inner
22.25,22.25,78.23687,17.53777,Patancheru_22.250 _outer
22.25,22.25,78.23687,17.53777,Patancheru_Exit-3_inner
22.25,22.25,78.23687,17.53777,Patancheru_Exit-3_inner
22.25,22.25,78.23687,17.53777,Patancheru_Service Road_Outer
22.25,22.25,78.23687,17.53777,Patancheru_Exit-03_inner
22.25,22.25,78.23687,17.53777,Patancheru_Exit-03_inner
22.25,22.25,78.23687,17.53777,Patancheru_22.250_Up_Ramp
22.25,22.25,78.23687,17.53777,Patancheru_Exit-3_inner
22.25,22.25,78.23687,17.53777,Patancheru_22.250_INNER
22.25,22.25,78.23687,17.53777,Patancheru_Exit - 03_OUTER
22.25,22.25,78.23687,17.53777,Patancheru_Exit - 03_INNER
22.25,22.25,78.23687,17.53777,Patancheru_Exit - 03 Inner
22.25,22.25,78.23687,17.53777,Patancheru_Exit - 03 Outer
22.25,22.25,78.23687,17.53777,Patancheru_22.250 Inner
22.25,22.25,78.23687,17.53777,Patancheru_22.250 Outer
22.25,22.25,78.23687,17.53777,Patancheru_22.250 Outer
22.25,22.25,78.23687,17.53777,Patancheru_22.250 Inner
22.3,22.3,78.23641,17.53771,Patancheru_NH 65
22.3,22.3,78.23641,17.53771,Patancheru_22.300 _outer
22.3,22.3,78.23641,17.53771,Patancheru_22.300 _outer
22.3,22.3,78.23641,17.53771,Patancheru_Exit 3_inner
22.3,22.3,78.23641,17.53771,Patancheru_22.300_inner
22.3,22.3,78.23641,17.53771,Patancheru_22.300_inner
22.3,22.3,78.23641,17.53771,Patancheru_Exit-03_Outer
22.3,22.3,78.23641,17.53771,Patancheru_Exit-03_Outer
22.3,22.3,78.23641,17.53771,Patancheru_Exit-3_Outer
22.3,22.3,78.23641,17.53771,Patancheru_22.300_Outer
22.3,22.3,78.23641,17.53771,Patancheru_22.300_INNER
22.3,22.3,78.23641,17.53771,Patancheru_22.300 Outer
22.3,22.3,78.23641,17.53771,Patancheru_22.300 Outer
22.3,22.3,78.23641,17.53771,Patancheru_22.300 Inner
22.3,22.3,78.23641,17.53771,Patancheru_22.300 Inner
22.3,22.3,78.23641,17.53771,Patancheru_22.300 Inner
22.3,22.3,78.23641,17.53771,Patancheru_22.300 Outer
22.3,22.3,78.23641,17.53771,Patancheru_22.300 Inner
22.3,22.3,78.23641,17.53771,Patancheru_22.300 Inner
22.35,22.3,78.23641,17.53771,Patancheru_22.350_inner
22.45,22.465,78.238,17.53798,Patancheru_22.450 _outer
22.45,22.465,78.238,17.53798,Patancheru_22.450_Service Road 
22.5,22.465,78.238,17.53798,Patancheru
22.5,22.465,78.238,17.53798,Patancheru_22.500_Trauma
22.5,22.465,78.238,17.53798,Patancheru_22.500 _outer Ramp
22.5,22.465,78.238,17.53798,Patancheru_22.500_Outer
22.5,22.465,78.238,17.53798,Patancheru_22.500 Inner
22.5,22.465,78.238,17.53798,Patancheru_22.500_Inner
22.5,22.465,78.238,17.53798,Patancheru_22.500 Inner
22.5,22.465,78.238,17.53798,Patancheru_22.500 Outer
22.88,23,78.24071,17.5414,Patancheru_22.880 Inner
23,23,78.24071,17.5414,Patancheru
23,23,78.24071,17.5414,Patancheru_23.000_inner
23,23,78.24071,17.5414,Patancheru_23.000_inner
23,23,78.24071,17.5414,Patancheru_23.000_inner
23,23,78.24071,17.5414,Patancheru_23.000_inner
23.1,23,78.24071,17.5414,Patancheru_23.100_inner
23.1,23,78.24071,17.5414,Patanchrru_23.100 Inner
23.1,23,78.24071,17.5414,Patancheru_23.100 Inner
23.25,23,78.24071,17.5414,Patancheru_23.250_Outer
23.3,23,78.24071,17.5414,Patancheru_23.300_Outer
23.3,23,78.24071,17.5414,Patancheru_23.300_Inner
23.4,23,78.24071,17.5414,Patancheru_23.400 _outer
23.4,23,78.24071,17.5414,Patancheru_23.400_Inner
23.5,23.85,78.2482,17.54383,Patancheru_23.500_inner
23.5,23.85,78.2482,17.54383,Patancheru_23.500_OUTER
23.5,23.85,78.2482,17.54383,Patancheru_23.500_Inner
23.6,23.85,78.2482,17.54383,Patancheru_23.600_inner
23.6,23.85,78.2482,17.54383,Patancheru_23.600_Inner
23.6,23.85,78.2482,17.54383,Patancheru_23.600 Inner
23.7,23.85,78.2482,17.54383,Patancheru_23.700 Outer
23.85,23.85,78.2482,17.54383,Patancheru_23.850_inner
24,23.9,78.24949,17.54408,Patancheru_24.000_INNER
24,23.9,78.24949,17.54408,Patancheru_24.000_INNER
24.4,24.85,78.25734,17.54557,Patancheru_24.400_inner
24.5,24.85,78.25734,17.54557,Patancheru_24.500_INNER
24.5,24.85,78.25734,17.54557,Patancheru_24.500 Inner
24.8,24.85,78.25734,17.54557,Patancheru_24.800 Inner
24.85,24.85,78.25734,17.54557,Patancheru_24.850_inner
